"商品コード","商品名","JANコード","賞味期限管理区分","出荷可能残日数"
"0422-1","ウフマヨネーズ【製品数】","2800002920157",,
"0422-S-1","ウフマヨネーズ(★26/7/4賞味)【製品数】","2800002920157",,
"0851-1","郷の親子丼の素【製品数】","2800016800421",,
"0853-1","懐かしの親子丼の素【製品数】","2800016800629",,
"0885-10","天美卵だし巻き(中)【製品数】","2800010500044",,
"0888-10","天美卵だし巻き【製品数】","2800010500037",,
"0971-1","大江ノ郷味たまご（2個入）【製品数】","2800016800742",,
"13246-1","ガチャBOX13246-1","2800004000345",,
"13246-2","ガチャBOX13246-2","2800004000352",,
"13246-3","ガチャBOX13246-3","2800004000369",,
"13246-4","ガチャBOX13246-4","2800004000376",,
"13246-5","ガチャBOX13246-5","2800004000383",,
"13248-1","ガチャBOX13248-1","2800004000468",,
"13248-2","ガチャBOX13248-2","2800004000475",,
"13248-3","ガチャBOX13248-3","2800004000482",,
"13248-4","ガチャBOX13248-4","2800004000499",,
"13248-5","ガチャBOX13248-5","2800004000505",,
"2100-1","プレーン 食パン【製品数】","2800007300015",,
"210011-1","☆冷凍プレーン食パン【製品数】","2800007300046",,
"2101-10","全粒粉　食パン【製品数】","2800007300022",,
"2106-1","デニッシュブレッド【製品数】","2800007300121",,
"2106-2","デニッシュブレッド[GPセット]【数量】","2800007300121",,
"210611-1","☆冷凍デニッシュブレッド【製品数】","2800007300138",,
"2108-1","あん食パン【製品数】","2800007300107",,
"2113-1","ぶどう 食パン【製品数】","2800007300039",,
"2201-1","メープルデニッシュ【製品数】","2800007301319",,
"2204-1","チーズ食パン【製品数】","2800007300275",,
"2304-1","桜の白あん食パン【製品数】","2800007303085",,
"2304-2","桜の白あん食パン[GPｾｯﾄ]【数量】","2800007303085",,
"2500-4","釜玉うどんｾｯﾄ【製品数】","2800009400072",,
"2571-1","チキンブラウン【製品数】","2800012600391",,
"2591-1","大江ノ郷ボンレスハム・スライス【製品数】","2800012600414",,
"2601-1","チキンホワイト【製品数】","2800012600056",,
"2610-1","粗挽きソーセージ【製品数】","2800012600018",,
"2611-1","ハーブソーセージ【製品数】","2800012600025",,
"2612-1","ニュールンベルガー【製品数】","2800012600032",,
"2613-1","ポークウインナー【製品数】","2800012600285",,
"2624-1","大江ノ郷ベーコン(うす切）ﾌﾞﾛｯｸ【製品数】","2800012600148",,
"2625-1","[冷凍]大江ノ郷ﾍﾞｰｺﾝ(薄切)ﾌﾞﾛｯｸ【製品数】","2800012600230",,
"2631-1","大江ノ郷ロースハム・スライス【製品数】","2800012600131",,
"26311-1","[冷凍]大江ノ郷ﾛｰｽﾊﾑ・ｽﾗｲｽ[製品数]","2800012600223",,
"2650-1","燻製スペシャルＳＴ【ｾｯﾄ数】","2800019010131",,
"2654-1","鳥取和牛ﾛｰｽﾄﾋﾞｰﾌ　霜降りﾀｲﾌﾟ【製品数】","2800015800484",,
"26552-1","切り落としベーコン 300g【製品数】","2800012600193",,
"2660-1","鹿野地鶏の鶏ハム(プレーン)【製品数】","2800015800019",,
"2673-1","天美卵と自家製ベーコンのパスタ【製品数】","2800014800119",,
"2675-1","ミートソース・パスタ【製品数】","2800014800126",,
"2693-1","郷のナポリタン【製品数】","2800014800294",,
"2696-1","赤エビのペスカトーレ【製品数】","2800014800393",,
"2740-1","大江ノ郷ささみの燻製【製品数】","2800012600353",,
"2801-1","懐かしのとりそぼろ【製品数】","2800016800704",,
"2803-1","鳥取和牛しぐれ【製品数】","2800016800728",,
"5033-1","フロマージュぷりん(3個入り)【製品数】","2800037120119",,
"5035-1","にこにこぷりん（4個入）【製品数】","2800037100876",,
"5036-1","5つの味わいぷりん（6個入）【製品数】","2800037100869",,
"5170-1","いなばの白ぷりん（3個入）【製品数】","2800037100852",,
"5190-1","いなばの白ぷりん（1個）【GPｾｯﾄ数量】","2800037100845",,
"5697-1","さくらのミニパウンドケーキ数量","2800032210051",,
"5750-1","パンケーキのケーキ（3個入）【製品数】","2800044100760",,
"5750-2","パンケーキのケーキ（1個）【数】","2800044100753",,
"5760-1","風紋まんじゅう（5個入）【製品数】","2800010500198",,
"5765-1","風紋まんじゅう桜こしあん(5個入)[製品数]","2800010500334",,
"57651-1","【冷凍】風紋ﾏﾝｼﾞｭｳ桜ｺｼｱﾝ(5個入)[製品数]","2800010500365",,
"5767-1","風紋まんじゅう・彩り二種(粒･桜)[製品数]","2800010500358",,
"5776-1","春の銘菓詰め合わせ【製品数】","2800047110247",,
"6036-10","◆八頭ばうむ　いち輪【製品数】","2800030100088",,
"60365-1","【冷凍】八頭ばうむ　いち輪【製品数】","2800030100675",,
"6048-10","八頭ばうむ　響【製品数】","2800030100118",,
"6049-10","Yazuバウム　木魂【製品数】","2800030100095",,
"6342-10","やわらかミニバウム５個入【製品数】","2800030200177",,
"6342-111","やわらかミニバウム[GPｾｯﾄ個数]","2800030200160",,
"63426-10","【冷凍】やわらかﾐﾆﾊﾞｳﾑ5個入【製品数】","2800030200191",,
"63426-11","【冷凍】やわらかﾐﾆﾊﾞｳﾑ[個数]","2800030200184",,
"6345-10","春摘み苺バウム　【製品数】","2800030110063",,
"63467-10","ﾗｯﾋﾟﾝｸﾞ冷凍★春摘み苺ﾊﾞｳﾑ　【製品数】","2800030110070",,
"6370-1","大江ノ郷ﾊﾞﾀｰﾛｰﾙｹｰｷ【数量】","2800038150412",,
"6410-10","フィナンシェ〔プレーン〕【個数】","2800031100544",,
"6411-10","フィナンシェ〔ショコラ〕【個数】","2800031100551",,
"6414-12-H","ﾌｨﾅﾝｼｪ〔紅茶〕2個入【頒布会数】","2800031150839",,
"6515-H","苺のクグロフ【頒布会数】","2800008300717",,
"6611-1","苺ティラミス【数量】","2800043150148",,
"6613-10","冷凍★苺モンブランタルト【製品数】","2800040110145",,
"6616-1","苺ぷりん3個入り【製品数】","2800037110042",,
"6626-1","フィナンシェボックス(6個入)【製品数】","2800006150239",,
"6634-10","郷の焼き菓子ボックスA　【製品数】","2800006990125",,
"66347-10","ﾗｯﾋﾟﾝｸﾞ郷の焼き菓子ﾎﾞｯｸｽA【製品数】","2800006990125",,
"6635-10","郷の焼き菓子ボックスB　【製品数】","2800006990132",,
"66357-10","ﾗｯﾋﾟﾝｸﾞ郷の焼き菓子ﾎﾞｯｸｽB　【製品数】","2800006990132",,
"6636-1","苺のダックワーズ[個数]","2800034210011",,
"6637-1","苺のダックワーズ5個入【製品数】","2800034210028",,
"66371-1","【冷凍】苺のダックワーズ5個入【製品数】","2800034210042",,
"66377-1","ﾗｯﾋﾟﾝｸﾞ苺のﾀﾞｯｸﾜｰｽﾞ5個入【製品数】","2800034210028",,
"6642-10","箱入り◆八頭チーズケーキ【製品数】","2800030100224",,
"66421-10","冷凍★八頭チーズケーキ【製品数】","2800030100231",,
"6681-10","大江ノ郷タルト５個入【製品数】","2800040200075",,
"6681-111","大江ノ郷タルト数量[GPｾｯﾄ個数]","2800040200068",,
"6685-1","大江ノ郷フロマージュ【製品数】","2800039100423",,
"66857-1","ﾗｯﾋﾟﾝｸﾞ大江ﾉ郷ﾌﾛﾏｰｼﾞｭ【製品数】","2800039100423",,
"6723-1","いちご抹茶ロール【製品数】","2800038110201",,
"7002","進物用ﾊﾟｯｸ","2800001000010",,
"7003","Ｍｻｲｽﾞﾊﾟｯｸ","2800001000010",,
"70044","若たまごﾊﾟｯｸ","2800001000157",,
"7005","御礼ｻｲｽﾞﾊﾟｯｸ","2800001000263",,
"7007","SET用・Ｍﾊﾟｯｸ","2800001000010",,
"70071","水引ＭＳﾊﾟｯｸ","2800001000065",,
"7011","自宅用Ｍｻｲｽﾞ15小箱","2800001000058",,
"7012","進物用15小箱","2800001000058",,
"7030","大江ノ郷ぷりん６個【製品数】","2800037200217",,
"7032","ダブルぷりん６個【製品数】","2800037100807",,
"7033","ナチュラプリン６個【製品数】","2800037100814",,
"7034","三つのプリン６個【製品数】","2800037100821",,
"7042","大江ノ郷ぷりん４個【製品数】","2800037200033",,
"70834","蒸たまご（６個入）【製品数】","2800009400041",,
"7090","たまごｽｰﾌﾟ10食入箱【数量】","2800002920058",,
"7092","たまごｽｰﾌﾟ(ﾊﾞﾗ)【数量】","2800002920034",,
"7150","鶏ぞうすい5食入箱【数量】","2800002920089",,
"7151","蟹ぞうすい5食入箱【数量】","2800002920119",,
"7152","玉子丼5食入箱【数量】","2800002920140",,
"7814-10","プティアソート14個入り　【製品数】","2800006990040",,
"7830-10","ﾌﾟﾃｨｱｿｰﾄと大江ノ郷ﾊﾞｳﾑｸｰﾍﾝ【製品数】","2800006990064",,
"7858-2","ラッピングかすてら２個入箱【数量】","2800036100488",,
"7861-10","COCOマカロン(5個入り)【製品数】","2800042100519",,
"78971","フロマージュぷりん【GPｾｯﾄ数量】","2800037120102",,
"7903-1","大江ﾉ郷用ﾌﾟﾘﾝ[GPｾｯﾄ数量]","2800037100036",,
"7933","たまごｼﾌｫﾝｹｰｷ【製品数】","2800035100298",,
"79371","苺ｼﾌｫﾝｹｰｷ◆ﾐﾆ【製品数】","2800035110235",,
"79377","ﾗｯﾋﾟﾝｸﾞ苺ｼﾌｫﾝｹｰｷ【製品数】","2800035110112",,
"7947","☆冷凍☆苺ｼﾌｫﾝｹｰｷ【製品数】","2800035110105",,
"7950","コッコロール【製品数】","2800038100400",,
"7988","たまご掛け醤油数量","2800002920010",,
"9972","大江ﾉ郷バウムクーヘン【製品数】","2800030100064",,
"99727","ﾗｯﾋﾟﾝｸﾞ大江ﾉ郷ﾊﾞｳﾑｸｰﾍﾝ【製品数】","2800030100064",,
"99794","感謝焼印　大江バウム(ﾊｰﾄﾞｹｰｽ)【製品数】","2800030100071",,
"997947","ﾗｯﾋﾟﾝｸﾞ感謝印大江ﾊﾞｳﾑ(ﾊｰﾄﾞｹｰｽ)【製品数】","2800030100071",,
"T203-07-1","有機ﾎｰﾘｰﾊﾞｼﾞﾙﾃｨｰ【WEB】","4571489730208",,
